03-8174-9123,Rebbecca,Didio,4th year,BS-IS,rebbecca.didio@didio.com.au,TAS
07-9997-3366,Stevie,Hallo,4th year,BS-BIO,stevie.hallo@hotmail.com,QLD
08-5558-9019,Mariko,Stayer,4th year,BS-HM,mariko_stayer@hotmail.com,WA
02-6044-4682,Gerardo,Woodka,4th year,BS-EET,gerardo_woodka@hotmail.com,NSW
02-1455-6085,Mayra,Bena,4th year,BS-EET,mayra.bena@gmail.com,NSW
08-7868-1355,Idella,Scotland,4th year,BS-FT,idella@hotmail.com,WA
08-6522-8931,Sherill,Klar,4th year,BS-TOURISM,sklar@hotmail.com,WA
02-5226-9402,Ena,Desjardiws,4th year,BEED,ena_desjardiws@desjardiws.com.au,NSW
07-3184-9989,Vince,Siena,4th year,BS-SE,vince_siena@yahoo.com,QLD
08-6890-4661,Theron,Jarding,4th year,BS-ENGLISH,tjarding@hotmail.com,SA
07-8135-3271,Amira,Chudej,4th year,BS-ES,amira.chudej@chudej.net.au,QLD
03-1174-6817,Marica,Tarbor,4th year,BS-ES,marica.tarbor@hotmail.com,TAS
07-7977-6039,Shawna,Albrough,4th year,BS-IT,shawna.albrough@albrough.com.au,QLD
08-8344-8929,Paulina,Maker,4th year,BS-IS,paulina_maker@maker.net.au,WA
07-4941-9471,Rose,Jebb,4th year,BS-BIO,rose@jebb.net.au,QLD
02-3518-7078,Reita,Tabar,4th year,BS-HM,rtabar@hotmail.com,NSW
07-9387-7293,Maybelle,Bewley,4th year,BS-EET,mbewley@yahoo.com,QLD
02-5171-4345,Camellia,Pylant,4th year,BS-EET,camellia_pylant@gmail.com,NSW
02-5311-7778,Roy,Nybo,4th year,BS-FT,rnybo@nybo.net.au,ACT
07-9354-2612,Albert,Sonier,4th year,BS-TOURISM,albert.sonier@gmail.com,QLD
02-1638-4380,Hayley,Taghon,4th year,BEED,htaghon@taghon.net.au,NSW
02-5322-6127,Norah,Daleo,4th year,BS-SE,ndaleo@daleo.net.au,NSW
